2026-04-17 20:16:10.709658,A1,-59
2026-04-17 20:16:20.745675,A1,-54
2026-04-17 20:16:25.763596,A1,-56
2026-04-17 20:17:10.505356,A2,-53
2026-04-17 20:17:20.544021,A2,-59
2026-04-17 20:17:25.561069,A2,-47
2026-04-17 20:17:30.579468,A2,-50
2026-04-17 20:18:10.249828,A3,-47
2026-04-17 20:18:15.263806,A3,-47
2026-04-17 20:18:20.276979,A3,-46
2026-04-17 20:18:25.293131,A3,-51
2026-04-17 20:18:30.311691,A3,-46
2026-04-17 20:18:57.232175,A4,-54
2026-04-17 20:19:02.248640,A4,-64
2026-04-17 20:19:07.263439,A4,-62
2026-04-17 20:19:12.278184,A4,-75
2026-04-17 20:19:17.295176,A4,-58
2026-04-17 20:22:03.713462,A5,-70
2026-04-17 20:22:13.749482,A5,-69
2026-04-17 20:22:18.765634,A5,-64
2026-04-17 20:22:58.202544,A6,-65
2026-04-17 20:23:03.215486,A6,-64
2026-04-17 20:23:08.229651,A6,-75
2026-04-17 20:34:58.719456,B1,-53
2026-04-17 20:35:08.739483,B1,-53
2026-04-17 20:35:13.748574,B1,-53
2026-04-17 20:35:18.759815,B1,-53
2026-04-17 20:35:44.469191,B2,-76
2026-04-17 20:36:18.036105,B2,-72
2026-04-17 20:36:23.049770,B2,-61
2026-04-17 20:36:28.063984,B2,-62
2026-04-17 20:36:33.080861,B2,-64
2026-04-17 20:36:38.098645,B2,-65
2026-04-17 20:37:24.622787,B3,-56
2026-04-17 20:37:29.639026,B3,-53
2026-04-17 20:37:34.654568,B3,-57
2026-04-17 20:37:39.671698,B3,-56
2026-04-17 20:37:44.687098,B3,-56
2026-04-17 20:38:08.039255,B4,-67
2026-04-17 20:38:13.053632,B4,-59
2026-04-17 20:38:18.067443,B4,-54
2026-04-17 20:38:23.080631,B4,-62
2026-04-17 20:38:28.097535,B4,-62
2026-04-17 20:38:40.723035,B5,-62
2026-04-17 20:38:45.739474,B5,-67
2026-04-17 20:38:50.754647,B5,-58
2026-04-17 20:38:55.768668,B5,-63
2026-04-17 20:39:00.782916,B5,-60
2026-04-17 20:39:13.678881,B6,-72
2026-04-17 20:39:18.694510,B6,-73
2026-04-17 20:39:23.709626,B6,-63
2026-04-17 20:39:28.727695,B6,-74
2026-04-17 20:39:33.743597,B6,-65
2026-04-17 20:40:56.679010,C1,-67
2026-04-17 20:41:01.696902,C1,-72
2026-04-17 20:41:06.713208,C1,-63
2026-04-17 20:41:11.730329,C1,-66
2026-04-17 20:41:16.741447,C1,-68
2026-04-17 20:43:26.540278,C2,-73
2026-04-17 20:43:31.556403,C2,-70
2026-04-17 20:43:36.574541,C2,-65
2026-04-17 20:43:41.591345,C2,-64
2026-04-17 20:43:46.606941,C2,-65
2026-04-17 20:44:09.556010,C3,-64
2026-04-17 20:44:14.573975,C3,-57
2026-04-17 20:44:19.590394,C3,-60
2026-04-17 20:44:24.606327,C3,-61
2026-04-17 20:44:29.622351,C3,-64
2026-04-17 20:44:48.191950,C4,-54
2026-04-17 20:44:53.207450,C4,-56
2026-04-17 20:44:58.226112,C4,-51
2026-04-17 20:45:03.239496,C4,-60
2026-04-17 20:45:08.257260,C4,-49
2026-04-17 20:45:57.575156,C5,-57
2026-04-17 20:46:02.586106,C5,-57
2026-04-17 20:46:07.601067,C5,-55
2026-04-17 20:47:13.750152,C6,-62
2026-04-17 20:47:18.765046,C6,-62
2026-04-17 20:47:23.780648,C6,-64
2026-04-17 20:47:28.796459,C6,-61
2026-04-17 20:47:33.812551,C6,-62
2026-04-17 20:47:46.606709,C7,-71
2026-04-17 20:47:51.623793,C7,-75
2026-04-17 20:47:56.638064,C7,-74
2026-04-17 20:48:01.654635,C7,-74
2026-04-17 20:48:06.670762,C7,-69
2026-04-17 20:49:33.162209,D2,-70
2026-04-17 20:49:38.176777,D2,-64
2026-04-17 20:49:43.192284,D2,-70
2026-04-17 20:49:48.207573,D2,-67
2026-04-17 20:49:53.226514,D2,-63
2026-04-17 20:50:12.923164,D3,-75
2026-04-17 20:50:17.941295,D3,-67
2026-04-17 20:50:22.959649,D3,-66
2026-04-17 20:50:27.975853,D3,-76
2026-04-17 20:50:32.993042,D3,-66
2026-04-17 20:50:51.808887,D4,-52
2026-04-17 20:50:56.826228,D4,-51
2026-04-17 20:51:01.843407,D4,-57
2026-04-17 20:51:06.861390,D4,-58
2026-04-17 20:51:11.880991,D4,-57
2026-04-17 20:51:33.060230,D5,-60
2026-04-17 20:51:38.079471,D5,-62
2026-04-17 20:51:43.094162,D5,-61
2026-04-17 20:51:48.111256,D5,-53
2026-04-17 20:51:53.127570,D5,-61
2026-04-17 20:52:13.922676,D6,-62
2026-04-17 20:52:18.937104,D6,-65
2026-04-17 20:52:23.950765,D6,-64
2026-04-17 20:52:28.966439,D6,-67
2026-04-17 20:52:33.981797,D6,-67
2026-04-17 20:52:47.407908,D7,-72
2026-04-17 20:52:52.423445,D7,-62
2026-04-17 20:52:57.437050,D7,-62
2026-04-17 20:53:02.454692,D7,-61
2026-04-17 20:53:07.472595,D7,-66
2026-04-17 20:53:40.215017,E1,-70
2026-04-17 20:53:45.232359,E1,-72
2026-04-17 20:53:50.247767,E1,-74
2026-04-17 20:53:55.264404,E1,-74
2026-04-17 20:54:00.282597,E1,-79
2026-04-17 20:54:20.857930,E2,-68
2026-04-17 20:54:25.876623,E2,-64
2026-04-17 20:54:30.892579,E2,-65
2026-04-17 20:54:35.907140,E2,-65
2026-04-17 20:54:40.924996,E2,-69
2026-04-17 20:55:11.361895,E3,-73
2026-04-17 20:55:16.377201,E3,-72
2026-04-17 20:55:21.396546,E3,-72
2026-04-17 20:55:26.413770,E3,-73
2026-04-17 20:55:31.430214,E3,-67
2026-04-17 20:56:03.324118,E4,-63
2026-04-17 20:56:08.339401,E4,-55
2026-04-17 20:56:13.357731,E4,-54
2026-04-17 20:56:18.378183,E4,-56
2026-04-17 20:56:23.399926,E4,-54
2026-04-17 20:56:42.679895,E5,-60
2026-04-17 20:56:47.696459,E5,-60
2026-04-17 20:56:52.713384,E5,-64
2026-04-17 20:56:57.732371,E5,-57
2026-04-17 20:57:02.752159,E5,-55
2026-04-17 20:57:17.738058,E6,-63
2026-04-17 20:57:22.753554,E6,-59
2026-04-17 20:57:27.772241,E6,-57
2026-04-17 20:57:32.788939,E6,-59
2026-04-17 20:57:37.809269,E6,-57
2026-04-17 20:58:00.408019,E7,-60
2026-04-17 20:58:05.430320,E7,-62
2026-04-17 20:58:10.446074,E7,-61
2026-04-17 20:58:15.464167,E7,-63
2026-04-17 20:58:20.483618,E7,-62
2026-04-17 20:58:55.062691,F1,-67
2026-04-17 20:59:00.079881,F1,-67
2026-04-17 20:59:05.094275,F1,-73
2026-04-17 20:59:10.111516,F1,-74
2026-04-17 20:59:15.131296,F1,-72
2026-04-17 21:00:10.941025,F2,-61
2026-04-17 21:00:15.954762,F2,-58
2026-04-17 21:00:20.972295,F2,-63
2026-04-17 21:00:25.989349,F2,-67
2026-04-17 21:00:31.006959,F2,-67
2026-04-17 21:02:19.636193,F3,-69
2026-04-17 21:02:24.650122,F3,-69
2026-04-17 21:02:29.666090,F3,-69
2026-04-17 21:02:34.683694,F3,-69
